藏文	汉译	频次	出处	已入主表
ཉེས་དམིགས	过患	18	宝性论大疏、极广胜乘中观决定	是
མེད་པ	无有	18	宝性论大疏、极广胜乘中观决定	是
མངོན་སུམ་དུ	现前	18	宝性论大疏、极广胜乘中观决定	是
གཟུགས་སྐུ	色身	18	宝性论大疏、极广胜乘中观决定	是
སོ་སོ་སྐྱེ་བོ	异生	18	宝性论大疏	是
སྤྲོས་བྲལ	离戏	17	宝性论大疏、极广胜乘中观决定	是
འདུས་བྱས	有为	17	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཅན	有法	17	宝性论大疏、极广胜乘中观决定	是
ཡིད་བྱེད	作意	17	宝性论大疏、极广胜乘中观决定	是
དབང་ཕྱུག	自在	17	宝性论大疏、极广胜乘中观决定	是
ཇི་སྲིད	乃至	17	宝性论大疏、极广胜乘中观决定	是
རྟོག་པ	分别	17	宝性论大疏、极广胜乘中观决定	是
ཉོན་སྒྲིབ	烦恼障	17	宝性论大疏、极广胜乘中观决定	是
ཉོན་མོངས	烦恼障	17	宝性论大疏	是
ཡིད་བཞིན	如意	17	宝性论大疏	是
རྣམ་གྲངས	异门	16	宝性论大疏、极广胜乘中观决定	是
གྲོལ་བ	解脱	16	宝性论大疏、极广胜乘中观决定	是
སྙིང་རྗེ	悲心	16	宝性论大疏、极广胜乘中观决定	是
བག་ལ་ཉལ	随眠	16	宝性论大疏、极广胜乘中观决定	是
བྱང་ཆུབ	圆满	16	宝性论大疏、极广胜乘中观决定	是
ཐེག་པ་གསུམ	三乘	16	宝性论大疏	是
འཇིགས་པ	怖畏	16	宝性论大疏	是
ཆོས་དཀོན་མཆོག	法宝	16	宝性论大疏	是
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ	圆满受用身	16	宝性论大疏	是
མི་སྲིད	不可能	15	极广胜乘中观决定	是
གནས་སྐབས	分位	15	宝性论大疏、极广胜乘中观决定	是
ཐ་སྙད	名言	15	宝性论大疏、极广胜乘中观决定	是
བདག་ཉིད	自性	15	宝性论大疏、极广胜乘中观决定	是
རྗེ་བཙུན	至尊	15	宝性论大疏、极广胜乘中观决定	是
རིགས་འདྲ	同类	15	宝性论大疏、极广胜乘中观决定	是
དྲང་དོན	不了义	15	宝性论大疏、极广胜乘中观决定	是
སངས་རྒྱས་དཀོན་མཆོག	佛宝	15	宝性论大疏	是
དགེ་འདུན་དཀོན་མཆོག	僧宝	15	宝性论大疏	是
རང་དོན	自利	15	宝性论大疏	是
བདེན་སྟོང	谛实空	15	宝性论大疏	是
འཕགས་པ	菩萨圣者	15	宝性论大疏	是
སྐྱོན་མེད	无过	14	宝性论大疏、极广胜乘中观决定	是
མ་ལུས་པ	一切	14	宝性论大疏、极广胜乘中观决定	是
ཀུན་རྫོབ	俗谛	14	宝性论大疏、极广胜乘中观决定	是
བྱིས་པ	愚夫	14	宝性论大疏、极广胜乘中观决定	是
ཐུགས་རྗེ་ཆེན་པོ	大悲	14	宝性论大疏、极广胜乘中观决定	是
མྱ་ངན་ལས་འདས	涅槃	14	宝性论大疏	是
དེ་ནས	复次	14	宝性论大疏	是
དྲི་མ་མེད་པ	无垢	14	宝性论大疏	是
གློ་བུར་རྣམ་དག	客尘清净	14	宝性论大疏	是
ཐུགས་རྒྱུད	心相续	14	宝性论大疏	是
འཁོར་བའི་སྡུག་བསྔལ	生死苦	14	宝性论大疏	是
རྣམ་གྲོལ	解脱	14	宝性论大疏	是
དབུ་མ	中观	13	宝性论大疏、极广胜乘中观决定	是
འགོག་བདེན	灭谛	13	宝性论大疏、极广胜乘中观决定	是
རང་བཞིན	本性	13	宝性论大疏、极广胜乘中观决定	是
དེ་ཡང	彼亦	13	宝性论大疏、极广胜乘中观决定	是
ཞི་བ	寂静	13	宝性论大疏、极广胜乘中观决定	是
མ་ལུས	无余	13	宝性论大疏、极广胜乘中观决定	是
ཉོན་མོངས	染污	13	宝性论大疏、极广胜乘中观决定	是
ཐ་མ	最后	13	宝性论大疏、极广胜乘中观决定	是
དག་པ	无垢	13	宝性论大疏、极广胜乘中观决定	是
ལྟོས་པ	观待	13	宝性论大疏、极广胜乘中观决定	是
རང་བྱུང	自生	13	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཀྱི་བདག་མེད	法无我	13	宝性论大疏、极广胜乘中观决定	是
བདེན་གཉིས	二谛	13	宝性论大疏、极广胜乘中观决定	是
སྐུ་གསུམ	三身	13	宝性论大疏、极广胜乘中观决定	是
སྤང་བྱ	所断	13	宝性论大疏、极广胜乘中观决定	是
ཐུགས་རྗེ	大悲	13	宝性论大疏、极广胜乘中观决定	是
ཤེར་ཕྱིན	般若	13	宝性论大疏、极广胜乘中观决定	是
ཐོག་མ་མེད་པ	无始	13	宝性论大疏	是
དཔེར་ན	譬如	13	宝性论大疏	是
ཤེས་རབ	般若	13	宝性论大疏	是
མ་ལུས་པ	无余	13	宝性论大疏	是
རྩ་བ	根本	12	宝性论大疏、极广胜乘中观决定	是
རྣལ་འབྱོར	瑜伽	12	宝性论大疏、极广胜乘中观决定	是
བྱ་བ	所作	12	宝性论大疏、极广胜乘中观决定	是
རྫོགས་པ	圆满	12	宝性论大疏、极广胜乘中观决定	是
ཡོད་མེད	有无	12	宝性论大疏、极广胜乘中观决定	是
གཙོ་བོ	主要	12	宝性论大疏、极广胜乘中观决定	是
ཕུན་ཚོགས	圆满	12	宝性论大疏、极广胜乘中观决定	是
བསམ་གཏན	静虑	12	宝性论大疏、极广胜乘中观决定	是
སྤྲུལ་པའི་སྐུ	化身	12	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཉིད	自性空	12	宝性论大疏	是
ཡིད་ལ་བྱེད་པ	作意	12	宝性论大疏	是
མཐའ་དག	所有	12	宝性论大疏	是
སྒོམ་སྤང	修所断	12	宝性论大疏	是
མངོན་མཐོ	增上生	12	宝性论大疏	是
ཕན་ཡོན	胜利	12	宝性论大疏	是
ཟག་པ	有漏	12	宝性论大疏	是
དང་ལྡན་པ	相应	12	宝性论大疏	是
མཚན་གཞི	所相	11	宝性论大疏、极广胜乘中观决定	是
མུ་སྟེགས	外道	11	宝性论大疏、极广胜乘中观决定	是
རྣམ་བྱང	清净	11	宝性论大疏、极广胜乘中观决定	是
ཆོས་དབྱིངས	法界	11	宝性论大疏、极广胜乘中观决定	是
བདག་མེད་གཉིས	二无我	11	宝性论大疏、极广胜乘中观决定	是
