藏文	汉译	频次	出处	已入主表
མཐུ་སྟོབས	威德	2	极广胜乘中观决定	是
རྟག་པ	常法	2	极广胜乘中观决定	是
ངོ་བོ་ཉིད	本性	2	宝性论大疏、极广胜乘中观决定	是
ལྷན་ཅིག	共同	2	极广胜乘中观决定	是
དེ་མ་ཐག་རྐྱེན	无间缘	2	宝性论大疏、极广胜乘中观决定	是
དམིགས་རྐྱེན	所缘缘	2	宝性论大疏、极广胜乘中观决定	是
ཕྱིན་ཅི་ལོག་པ	颠倒	2	宝性论大疏、极广胜乘中观决定	是
ཕུང་པོ་ལྔ	五蕴	2	极广胜乘中观决定	是
མཆོད་སྦྱིན	供施	2	宝性论大疏、极广胜乘中观决定	是
དུད་འགྲོ	旁生	2	宝性论大疏、极广胜乘中观决定	是
རྡུལ་ཕྲན	微尘	2	宝性论大疏、极广胜乘中观决定	是
རྗེས་དཔག	比量	2	极广胜乘中观决定	是
ལྟ་སྤྱོད	见行	2	宝性论大疏、极广胜乘中观决定	是
སྨིག་རྒྱུ	阳焰	2	极广胜乘中观决定	是
རྒྱལ་སྲས	菩萨	2	宝性论大疏、极广胜乘中观决定	是
ཆོས་དབྱིངས	空性	2	宝性论大疏、极广胜乘中观决定	是
ལྷག་མ	其余	2	极广胜乘中观决定	是
དེ་ཡང	复次	2	宝性论大疏、极广胜乘中观决定	是
རྒྱུ་གསུམ	三因	2	宝性论大疏、极广胜乘中观决定	是
ཞི་གནས	寂止	2	极广胜乘中观决定	是
ལྷག་མཐོང	胜观	2	宝性论大疏、极广胜乘中观决定	是
བརྟུལ་ཞུགས	禁行	2	宝性论大疏、极广胜乘中观决定	是
བག་ཡོད	不放逸	2	宝性论大疏、极广胜乘中观决定	是
ཤེས་བཞིན	正知	2	极广胜乘中观决定	是
དེ་ནས	其次	2	宝性论大疏、极广胜乘中观决定	是
ལས་རུང	堪能	2	宝性论大疏、极广胜乘中观决定	是
གདམས་ངག	教诫	2	宝性论大疏、极广胜乘中观决定	是
སྙོམས་འཇུག	等至	2	极广胜乘中观决定	是
འཇིགས་པ་ལྔ	五怖畏	2	宝性论大疏、极广胜乘中观决定	是
རང་རྒྱལ	独觉	2	极广胜乘中观决定	是
རྣམ་པ	种类	2	宝性论大疏、极广胜乘中观决定	是
རྗེས་སུ་མཐུན་པ	随顺	2	宝性论大疏、极广胜乘中观决定	是
དབང་རྣོན	利根	2	宝性论大疏、极广胜乘中观决定	是
ཡེ་ཤེས་ལྔ	五智	2	极广胜乘中观决定	是
མཛད་འཕྲིན	事业	2	极广胜乘中观决定	是
ཡིན་ཡང	虽是	2	宝性论大疏、极广胜乘中观决定	是
ཐུབ་པའི་དབང་པོ	能仁王	2	宝性论大疏	是
རྒྱལ་ཚབ	补处	2	宝性论大疏	是
ཕྱི་མ	后世	2	宝性论大疏	是
དཀའ་བ	难得	2	宝性论大疏	是
ཉམས་སུ་ལེན་པ	修习	2	宝性论大疏	是
རྒྱ་མཚོ	广大	2	宝性论大疏	是
གསང་བ	密处	2	宝性论大疏	是
རང་ཉིད	本人	2	宝性论大疏	是
བླ་མ	喇嘛	2	宝性论大疏	是
བསྙེན་བཀུར	亲近承事	2	宝性论大疏	是
དེ་ལྟར	依此	2	宝性论大疏	是
དད་པ	信心	2	宝性论大疏	是
དབྱེར་མེད་པ	无差别	2	宝性论大疏	是
ཚིགས་བཅད་གཅིག	一颂	2	宝性论大疏	是
ཉེ་བའི་རྒྱུ	近因	2	宝性论大疏	是
དེ་ཡང	其次	2	宝性论大疏	是
སྒྲིབ་པ	障碍	2	宝性论大疏	是
ཆོས་ཀྱི་རྣམ་གྲངས	法门	2	宝性论大疏	是
འཕྲུལ་བ	变化	2	宝性论大疏	是
དོ་ཤལ	璎珞	2	宝性论大疏	是
ཡིད་དུ་འོང་བ	悦意	2	宝性论大疏	是
སྨིན་མཚམས	眉间	2	宝性论大疏	是
བྱིན་གྱིས་བརླབས་པ	加持	2	宝性论大疏	是
འདི་སྐད	如是	2	宝性论大疏	是
སྤོབས་པ	辩才	2	宝性论大疏	
དབུ་མ་པ	中观师	2	宝性论大疏	是
ཡིད་འོང	悦意	2	宝性论大疏	
རང་རྐྱ	独立	2	宝性论大疏	是
འདུལ་བ	毗奈耶	2	宝性论大疏	是
སྨིན་བྱེད	能熟	2	宝性论大疏	是
རྣམ་ཐར	解脱	2	宝性论大疏	是
ཞི་བ	解脱	2	宝性论大疏	是
འདོར་བ	舍弃	2	宝性论大疏	是
འཁོར་གསུམ	所作	2	宝性论大疏	是
ཕྱིན་ཅི་ལོག་བཞི	四颠倒	2	宝性论大疏	是
དུལ་བ	调柔	2	宝性论大疏	是
གསལ་བ	差别	2	宝性论大疏	是
དོན་གཉིས	自利	2	宝性论大疏	是
ཐུགས་རྗེ	悲悯	2	宝性论大疏	是
མིང་གཟུགས	名色	2	宝性论大疏	是
རྩོལ་བ	无功	2	宝性论大疏	是
དག་པ་ཉིད	清净	2	宝性论大疏	是
མངའ་བ	所有	2	宝性论大疏	是
འདུས་མ་བྱས	无为法	2	宝性论大疏	是
ངོ་མཚར	稀有	2	宝性论大疏	是
མཐར་ལྟ	边执见	2	宝性论大疏	是
ཉིང་མཚམས་སྦྱོར་བ	结生	2	宝性论大疏	是
འཇིག་ལྟ	坏聚见	2	宝性论大疏	是
རང་བཞིན་གྱིས་མ་གྲུབ་པ	无自性	2	宝性论大疏	是
རྟོགས་པ	觉悟	2	宝性论大疏	是
སངས་རྒྱས་ཀྱི་སྤྱན	佛眼	2	宝性论大疏	是
བདེན་གྲུབ	自性有	2	宝性论大疏	是
རྒུད་པ	衰损	2	宝性论大疏	是
གཞི་མེད	无根	2	宝性论大疏	是
གཉིས་སུ་མེད་པ	无二	2	宝性论大疏	是
གཉིས་སུ་མེད	无二	2	宝性论大疏	是
ཡུལ་འཛིན	取境	2	宝性论大疏	是
སྡུག་པ	可爱	2	宝性论大疏	是
བསོད་ནམས་མ་ཡིན་པ	非福	2	宝性论大疏	是
ངེས་དོན	胜义谛	2	宝性论大疏	是
རྒྱས་འབྲིང་བསྡུས་གསུམ	般若经	2	宝性论大疏	是
དོན་གྱི་མདོ	要义	2	宝性论大疏	是
ལྷ་མོ	天女	2	宝性论大疏	是
སྐད་ཅིག་མ	一刹那	2	宝性论大疏	是
བསྙེན་བཀུར	恭敬	2	宝性论大疏	是
དྲག་ཤུལ་ཅན	郁伽长者	2	宝性论大疏	是
རང་ཉིད	自己	2	宝性论大疏	是
འཕགས་པའི་དགེ་འདུན	圣僧	2	宝性论大疏	是
གཞོལ་བ	专注	2	宝性论大疏	是
མིང་བཏགས	假名	2	宝性论大疏	是
ཕྱི་རོལ་པ	外道	2	宝性论大疏	是
ཕྱི་མ	最后	2	宝性论大疏	是
བྱང་ཆུབ	通达	2	宝性论大疏	是
སྟོན་པའི་བསྟན་པ	大师教	2	宝性论大疏	是
འཛིན་པ	执为	2	宝性论大疏	是
ཆོས་འཁོར	法轮	2	宝性论大疏	是
ཤིང་རྟ་ཆེན་པོ	大车	2	宝性论大疏	是
འབད་པ	精进	2	宝性论大疏	是
ཁྱུ་མཆོག	牛王	2	宝性论大疏	是
སེམས་རྒྱུད	心相续	2	宝性论大疏	是
མཐོང་བ	亲见	2	宝性论大疏	是
སློབ་དཔོན	师长	2	宝性论大疏	是
ཀུན་ཏུ	不断	2	宝性论大疏	是
མིང་གི་རྣམ་གྲངས	异名	2	宝性论大疏	是
བྱེད་པ་པོ	作者	2	宝性论大疏	是
དགོངས་གཞི	用意	2	宝性论大疏	是
རྣམ་འགྲེལ	释量论	2	宝性论大疏	是
ཅེ་ན	若谓	2	宝性论大疏	是
ལེགས་པར་བཤད་པ	善说	2	宝性论大疏	是
མངོན་སུམ	真实	2	宝性论大疏	是
མ་མ	乳母	2	宝性论大疏	是
སྙིང་བརྩེ	悲心	2	宝性论大疏	是
རེ་རེ་ནས	各各	2	宝性论大疏	是
མི་འགྱུར་བ	虚空	2	宝性论大疏	是
རྒྱབ་ཀྱིས་ཕྱོགས་པ	背弃	2	宝性论大疏	是
དེ་ལྟར	所依	2	宝性论大疏	是
མངོན་པའི་ང་རྒྱལ	增上慢	2	宝性论大疏	是
ཞི་ལྷག་ཟུང་འབྲེལ	止观双运	2	宝性论大疏	是
བྱེད་ལས	功用	2	宝性论大疏	是
བདེན་པར་འཛིན་པ	实执	2	宝性论大疏	是
ལོག་ཤེས	邪智	2	宝性论大疏	是
མངོན་གྱུར	通达	2	宝性论大疏	是
མུར་ཐུག་པ	究竟	2	宝性论大疏	是
རྒ་ཤི	老死	2	宝性论大疏	是
ཇི་སྲིད་དུ	乃至	2	宝性论大疏	是
སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས	三千大千世界	2	宝性论大疏	是
ཆད་པ	生于	2	宝性论大疏	是
ཆད་ལྟ	断见	2	宝性论大疏	是
རྟག་ལྟ	常见	2	宝性论大疏	是
རྒྱུ་མེད་རྐྱེན་མེད	无因无缘	2	宝性论大疏	是
རིགས་ཅན	有种性	2	宝性论大疏	是
སངས་རྒྱས་པ	已成佛	2	宝性论大疏	是
ཡིད་འབྱུང	之心	2	宝性论大疏	是
ནུས་པ	能力	2	宝性论大疏	是
སྟོང་པ་ཉིད	真如	2	宝性论大疏	是
རྣམ་གྲངས	差别	2	宝性论大疏	是
དེ་ཉིད་ཀྱི་ཕྱིར	是故	2	宝性论大疏	是
རླུང་གི་དཀྱིལ་འཁོར	风轮	2	宝性论大疏	是
སའི་དཀྱིལ་འཁོར	地轮	2	宝性论大疏	是
སྟོང་པ	虚空	2	宝性论大疏	是
རླུང་གི་ཁམས	风界	2	宝性论大疏	是
བར་ཆད	中断	2	宝性论大疏	是
སྔ་མ་སྔ་མ	前前	2	宝性论大疏	是
མངོན་གྱུར	现证	2	宝性论大疏	是
སྣང་བ	明相	2	宝性论大疏	是
ཉིང་མཚམས་སྦྱོར་བ	结生相续	2	宝性论大疏	是
འདྲ་བ	相同	2	宝性论大疏	是
ཁྱད་པར་དུ་འཕགས་པ	殊胜	2	宝性论大疏	是
མངོན་དུ་ཕྱོགས་པ	现前	2	宝性论大疏	是
སྲིད་ཞི་མཉམ་ཉིད་ཀྱི་སྦྱོར་བ	有寂平等性加行	2	宝性论大疏	是
འགོག་པའི་སྙོམས་འཇུག	灭尽定	2	宝性论大疏	是
མངོན་གྱུར	显现	2	宝性论大疏	是
བདག་འཛིན་གཉིས	二种我执	2	宝性论大疏	是
བཅུ་པ	第十	2	宝性论大疏	是
བཞེད་པ	自在	2	宝性论大疏	是
སྔོན་དུ	先前	2	宝性论大疏	是
འདུལ་བ	调伏	2	宝性论大疏	是
འགོད་པ	安置	2	宝性论大疏	是
ཕྱི་མ	边际	2	宝性论大疏	是
རྣམ་གྲོལ	涅槃	2	宝性论大疏	是
རི་མོ་མཁན	画师	2	宝性论大疏	是
གྲངས་མེད་པ	无数	2	宝性论大疏	是
ནུས་མཐུ	能力	2	宝性论大疏	是
ཡེ་ཤེས་ཀྱི་ཚོགས	智资粮	2	宝性论大疏	是
རྣམ་པར་མི་རྟོག་པ	无分别	2	宝性论大疏	是
དེ་དག	反之	2	宝性论大疏	是
ཁམས་གོང་མ	上界	2	宝性论大疏	是
དགའ་བ	欢喜	2	宝性论大疏	是
ཉེས་སྤྱོད	恶行	2	宝性论大疏	是
མཚུངས་པ	相似	2	宝性论大疏	是
རྒྱལ་སྲིད	国政	2	宝性论大疏	是
སྲོག་ཆགས	有情	2	宝性论大疏	是
སྐྱེ་དགུ	众生	2	宝性论大疏	是
ཡན་ཆད་དུ	以上	2	宝性论大疏	是
ཡེ་ཤེས་ཀྱི་ཚོགས	智慧资粮	2	宝性论大疏	是
སྤྲུལ་པའི་སྐུ	变化身	2	宝性论大疏	是
དངོས་ཡོད	实际	2	宝性论大疏	是
འཆི་བ་མེད་པ	无死	2	宝性论大疏	是
ཆོ་འཕྲུལ་གསུམ	三神变	2	宝性论大疏	是
དབང་པོ་དྲུག	六根	2	宝性论大疏	是
གཡོ་བ	动摇	2	宝性论大疏	是
ཚོགས་པ	圆满	2	宝性论大疏	是
བདག་རྐྱེན	增上缘	2	宝性论大疏	是
ཅིག་ཤོས	另一方	2	宝性论大疏	是
སྒྲིབ་པ་གསུམ	三障	2	宝性论大疏	是
བདག་ཉིད	主宰	2	宝性论大疏	是
ཡོན་ཏན་ལྔ	功德	2	宝性论大疏	是
ལྟར་སྣང་བ	现似	2	宝性论大疏	是
རྫུ་འཕྲུལ	神通	2	宝性论大疏	是
རོལ་པ	嬉戏	2	宝性论大疏	是
སྒོམ་བྱུང	修所成慧	2	宝性论大疏	是
བསམ་ཡས	无边	2	宝性论大疏	是
རྒྱུ་བ	游行	2	宝性论大疏	是
ཕ་རོལ	彼岸	2	宝性论大疏	是
གནས་མིན	非处	2	宝性论大疏	是
རྗེས་སུ་དྲན་པ	随念	2	宝性论大疏	是
མཐའ་གཅིག་ཏུ	一边	2	宝性论大疏	是
ངང་གིས	自然	2	宝性论大疏	是
སྤྲིན་མེད	无云	2	宝性论大疏	是
ལྷའི་དབང་པོ	帝释	2	宝性论大疏	是
ས་སྟེང	地上	2	宝性论大疏	是
འདོད་ཡོན	欲尘	2	宝性论大疏	是
ལྷའི་གནས	天界	2	宝性论大疏	是
རྔ་སྒྲ	鼓声	2	宝性论大疏	是
དབྱར་གྱི་དུས	如夏季	2	宝性论大疏	是
རྨ་བྱ	孔雀	2	宝性论大疏	是
ངན་འགྲོའི་སྡུག་བསྔལ	恶趣苦	2	宝性论大疏	是
བྲག་ཅ	回响	2	宝性论大疏	是
མནར་མེད	无间	2	宝性论大疏	是
བསམ་གཏན་བཞི	四静虑	2	宝性论大疏	是
འདུན་པ	希求	2	宝性论大疏	是
བཤད་བྱ	所说	2	宝性论大疏	是
རྙེད་པ	利养	2	宝性论大疏	是
བླ་མ	上师	1	极广胜乘中观决定	是
ཡིད་གཉིས	犹豫	1	极广胜乘中观决定	
མཚུངས་མེད	无比	1	极广胜乘中观决定	
ངང་ཚུལ	本性	1	极广胜乘中观决定	
ཕྲག་དོག	嫉妒	1	极广胜乘中观决定	
ཡ་མཚན	稀有	1	极广胜乘中观决定	
རྨད་བྱུང	超群	1	极广胜乘中观决定	
སེམས་དཔའ	菩萨	1	极广胜乘中观决定	
རྟོན་པ་བཞི	四依	1	极广胜乘中观决定	
ས་བཅུའི་དབང་ཕྱུག	十地自在	1	极广胜乘中观决定	
ལེགས་རྟོགས	善通达	1	极广胜乘中观决定	
འདའ་བ	出离	1	极广胜乘中观决定	是
ངོ་མཚར	希有	1	极广胜乘中观决定	是
ཉམས་མྱོང	经验	1	极广胜乘中观决定	
འཚོ་བ	生活	1	极广胜乘中观决定	
ཟུང་འཇུག	止观双运	1	极广胜乘中观决定	是
ཡོད་མཐའ	有边	1	极广胜乘中观决定	
སེམས་རྒྱུན	心相续	1	极广胜乘中观决定	
ལྟ་ཅི་སྨོས	何须说	1	极广胜乘中观决定	是
གཟུགས་ཕུང	色蕴	1	极广胜乘中观决定	
བསྟན་ཡོད	有见	1	极广胜乘中观决定	
བཏང་སྙོམས	平等舍	1	极广胜乘中观决定	
མཉམ་པར་འཇོག་པ	等持	1	极广胜乘中观决定	
ཁྱད་འཕགས	殊胜	1	极广胜乘中观决定	
གནོད་བྱ	所损害	1	极广胜乘中观决定	
འབྲེལ་བ	关系	1	极广胜乘中观决定	是
བར་མ	中等	1	极广胜乘中观决定	
རྣམ་གྲངས	类别	1	极广胜乘中观决定	是
མི་དགེ་བ	不善	1	极广胜乘中观决定	
དགེ་བ	善的	1	极广胜乘中观决定	
མཚན་ཉིད	定义	1	极广胜乘中观决定	是
བཀྲེས་སྐོམ	饥渴	1	极广胜乘中观决定	
གཡོ་བ	移动	1	极广胜乘中观决定	是
རྫོགས་ལྡན	圆满	1	极广胜乘中观决定	
འབྲས་བུའི་ཆོས	果法	1	极广胜乘中观决定	
སྐྱེས་པ	已生	1	极广胜乘中观决定	
ལྡན་མིན་འདུ་བྱེད	不相应行	1	极广胜乘中观决定	
སྲེད་པ	贪爱	1	极广胜乘中观决定	
ཅི་ཙམ	几许	1	极广胜乘中观决定	
ཁམས་གསུམ	无色界	1	极广胜乘中观决定	是
འགོག་པ	断除	1	极广胜乘中观决定	
འཕགས་ལམ	圣道	1	极广胜乘中观决定	
འཇིག་རྟེན་ཁམས	世间	1	极广胜乘中观决定	
དཀྱིལ་འཁོར	坛城	1	极广胜乘中观决定	
ཞིང་ཁམས	净土	1	极广胜乘中观决定	
གཞི་ལྔ	色法	1	极广胜乘中观决定	
གཞན་སེལ	遮遣	1	极广胜乘中观决定	
སེལ་བ	遮遣	1	极广胜乘中观决定	
སྙིང་པོ	核心	1	极广胜乘中观决定	
རྣམ་པར	完全	1	极广胜乘中观决定	
ཅུང་ཟད	少许	1	极广胜乘中观决定	
ཚབས་ཆེན	极大	1	极广胜乘中观决定	
ཡོངས་གཅོད	遍立	1	极广胜乘中观决定	
རང་རིག	自明	1	极广胜乘中观决定	
ལུས་ལྡན	众生	1	极广胜乘中观决定	
སྐྱེ་ལྡན	有生	1	极广胜乘中观决定	
དེ་འདྲ་བ	如是	1	极广胜乘中观决定	
མཐོང་ཚུལ	见解	1	极广胜乘中观决定	
གསེར་རྡོ	金矿	1	极广胜乘中观决定	
ས་གཞི	大地	1	极广胜乘中观决定	是
ཉི་མ	太阳	1	极广胜乘中观决定	是
ཉིན་བྱེད	太阳	1	极广胜乘中观决定	
མཐོང་མེད	无见	1	极广胜乘中观决定	
སྐྱེ་བོ	凡夫	1	极广胜乘中观决定	是
སྙིང་པོ	本质	1	极广胜乘中观决定	
སོར་གདུབ	指环	1	极广胜乘中观决定	
རང་བཞིན	自然	1	极广胜乘中观决定	是
གསར་སྐྱེས	新生	1	极广胜乘中观决定	
མཛེ་ནད	麻风	1	极广胜乘中观决定	
འདོགས་པ	假立	1	极广胜乘中观决定	
ཆུ་བོ	大河	1	极广胜乘中观决定	
སྔོན་དུས	昔时	1	极广胜乘中观决定	
གསུམ་པ	第三者	1	极广胜乘中观决定	是
ཚོར་བ་གསུམ	三受	1	极广胜乘中观决定	
འདུ་ཤེས་མེད་པ	无想	1	极广胜乘中观决定	
ཡིད་ཀྱི་རྣམ་ཤེས	意识	1	极广胜乘中观决定	
དེ་ལྟ	如此	1	极广胜乘中观决定	
དེ་བས	是故	1	极广胜乘中观决定	
དང་བ	清净	1	极广胜乘中观决定	
རས་ཡུག	布匹	1	极广胜乘中观决定	
མདོ་སྡེ	经藏	1	极广胜乘中观决定	
ཕལ་ཆེན	大众部	1	极广胜乘中观决定	
གནས་བརྟན	上座	1	极广胜乘中观决定	
འགྲུབ་པ	成立	1	极广胜乘中观决定	是
འཇོག་པ	安置	1	极广胜乘中观决定	
ཡང་ཡང	数数	1	极广胜乘中观决定	
མེར་མེར་པོ	羯罗蓝	1	极广胜乘中观决定	
བར་མེད	无间	1	极广胜乘中观决定	
འབྲས་བུ	果报	1	极广胜乘中观决定	是
དེ་ལྡན	具彼	1	极广胜乘中观决定	
གནས་པ	存在	1	极广胜乘中观决定	
སྐྱ་རེངས	黎明	1	极广胜乘中观决定	
ཡུན་རིང	长时	1	极广胜乘中观决定	是
རྗེས་ཐོགས	紧接	1	极广胜乘中观决定	
ཉོན་མོངས་ཅན	有染	1	极广胜乘中观决定	
མི་གསལ་བ	不显	1	极广胜乘中观决定	
མ་གཏོགས	除外	1	极广胜乘中观决定	
འཛིན་རྣམ	自体	1	极广胜乘中观决定	
ཡུལ་ལྔ	五境	1	极广胜乘中观决定	
འཇུག་ལྡོག	进退	1	极广胜乘中观决定	
བླ་དྭགས	命名	1	极广胜乘中观决定	
མཉམ་བཞག	等引	1	极广胜乘中观决定	
རང་བཞིན	自体	1	极广胜乘中观决定	是
མཚན་བཅས	有相	1	极广胜乘中观决定	
ཆོས་ལྔ	分别	1	极广胜乘中观决定	是
རྫས་སུ་ཡོད་པ	实有	1	极广胜乘中观决定	
དོན་དམ་བདེན་པ	二者	1	极广胜乘中观决定	是
ལྔ་པོ	五者	1	极广胜乘中观决定	
ཀུན་ཏུ	普遍	1	极广胜乘中观决定	是
ཀུན་རྟོག	虚妄分别	1	极广胜乘中观决定	是
ཡོངས་སུ་གྲུབ་པའི་མཚན་ཉིད	是圆成实	1	极广胜乘中观决定	
ངོ་བོ་ཉིད་གསུམ	三自性	1	极广胜乘中观决定	
དེ་ཉིད	即彼	1	极广胜乘中观决定	是
གཟུང་འཛིན	能取所取	1	极广胜乘中观决定	
སྔོན་པོ	蓝色	1	极广胜乘中观决定	
གཟུང་བྱ	所取	1	极广胜乘中观决定	
ཚུལ་མིན	不如理	1	极广胜乘中观决定	是
ལེགས་གསུང	善说	1	极广胜乘中观决定	
ཉི་ཟླ	日月	1	极广胜乘中观决定	
གཟུགས་བརྙན	相同	1	极广胜乘中观决定	是
རིག་པ	显现	1	极广胜乘中观决定	是
འཆེལ་བ	耽着	1	极广胜乘中观决定	
ཐུག་མེད	无边	1	极广胜乘中观决定	
རང་བཞིན་སྟོང་པ་ཉིད	自性空	1	极广胜乘中观决定	
རྣམ་པ	形式	1	极广胜乘中观决定	是
ཀུན་འཛིན	遍持	1	极广胜乘中观决定	
གཡོ་མེད	不动	1	极广胜乘中观决定	
བདག་མེད	人无我	1	极广胜乘中观决定	是
འབྲས་བུ་ལྔ	五果	1	极广胜乘中观决定	
རྒྱུ་དྲུག	能作因	1	极广胜乘中观决定	
རྐྱེན་བཞི	四缘	1	极广胜乘中观决定	
མཚུངས་པ	同分	1	极广胜乘中观决定	是
བྱེ་བྲག	分支	1	极广胜乘中观决定	是
ལྷན་ཅིག་བྱེད་རྐྱེན	成为心识上缘的感	1	极广胜乘中观决定	是
རྒྱུ་ལྔ	五因	1	极广胜乘中观决定	
རྒྱུ་རྐྱེན	因素	1	极广胜乘中观决定	是
བྲལ་འབྲས	离系果	1	极广胜乘中观决定	
བརྟགས་འགོག	择灭	1	极广胜乘中观决定	
མཐར་ལྟ	边见	1	极广胜乘中观决定	是
མི་གཙང་བ	不淨	1	极广胜乘中观决定	是
དོན་མེད	无故	1	极广胜乘中观决定	
འགྱུར་བ	转变	1	极广胜乘中观决定	是
རིགས་སྤྱི	类总	1	极广胜乘中观决定	
ཅི་སྟེ	何故	1	极广胜乘中观决定	
བརྗོད་བྱ	所说	1	极广胜乘中观决定	是
གནས་ལུགས	真理	1	极广胜乘中观决定	
ཁ་ཅིག	某些	1	极广胜乘中观决定	
གལ་ཏེ	如果	1	极广胜乘中观决定	是
ཅི་སྟེ	如果	1	极广胜乘中观决定	
ཡོད་པ	存在	1	极广胜乘中观决定	是
རི་བོང་རྭ	兔角	1	极广胜乘中观决定	
མི་སྲིད་པ	不可能	1	极广胜乘中观决定	
སྨོས་ཅི་དགོས	何况	1	极广胜乘中观决定	
གཅིག་ཏུ	唯一	1	极广胜乘中观决定	
དབང་ཕྱུག	大自在天	1	极广胜乘中观决定	是
བདག་པོ	主宰	1	极广胜乘中观决定	
ཆུ་ཐིགས	水滴	1	极广胜乘中观决定	
ཆོས་ཀྱི་རང་བཞིན	法性	1	极广胜乘中观决定	
བསྟན་བཅོས	论典	1	极广胜乘中观决定	是
ཉེས་པ་གསུམ	三过	1	极广胜乘中观决定	
གཏོགས་པ	属于	1	极广胜乘中观决定	
ས་མིན	非地	1	极广胜乘中观决定	
མ་ནིང	黄门	1	极广胜乘中观决定	
འདོད་ལྡན	具欲	1	极广胜乘中观决定	
ཧ་ཅང་ཐལ་བ	太过	1	极广胜乘中观决定	
ལུས་ལྡན	具身	1	极广胜乘中观决定	
འབྲལ་བ	分离	1	极广胜乘中观决定	
འདོར་ལེན	取舍	1	极广胜乘中观决定	
རྩྭ་ཤིང	草木	1	极广胜乘中观决定	
འཕེལ་འགྲིབ	增减	1	极广胜乘中观决定	
དངོས་འཛིན	执实	1	极广胜乘中观决定	
འབྲེལ་མེད	无关	1	极广胜乘中观决定	
བརྗོད་དུ་མེད་པ	不可说	1	极广胜乘中观决定	
འགལ་བ	矛盾	1	极广胜乘中观决定	是
རིགས་པའི་དབང་ཕྱུག	正理自在	1	极广胜乘中观决定	
སྣང་བ	觉知	1	极广胜乘中观决定	是
ཡིད་ལ་བྱེད་པ	思惟	1	极广胜乘中观决定	是
དེ་ལྟ་བས་ན	由此	1	极广胜乘中观决定	
ཕྲ་རབ	极微	1	极广胜乘中观决定	
སྣ་ཚོགས	多种	1	极广胜乘中观决定	是
རགས་པ	粗大	1	极广胜乘中观决定	
གཅིག་མིན	非一	1	极广胜乘中观决定	
དོན་གྲུབ	义成	1	极广胜乘中观决定	
ག་ལ་རུང	岂可	1	极广胜乘中观决定	
སྟོབས་ལྡན	有力	1	极广胜乘中观决定	
དཔྱོད་པ	观察	1	极广胜乘中观决定	
འཕྲོས་དོན	余义	1	极广胜乘中观决定	
མུ་བཞི	生灭	1	极广胜乘中观决定	
རང་གི་བདག་ཉིད	自性	1	极广胜乘中观决定	
ཀུན་ནས་ཉོན་མོངས་པ	烦恼	1	极广胜乘中观决定	是
ཆུ་རྙོག	浊水	1	极广胜乘中观决定	
རིགས་པ	可能	1	极广胜乘中观决定	是
ཅི་སྟེ	何以	1	极广胜乘中观决定	
དངོས་ཡུལ	实境	1	极广胜乘中观决定	
ཀུན་བཏགས	分别	1	极广胜乘中观决定	
རང་རིག	自证分	1	极广胜乘中观决定	
གཅིག་པུ	唯一	1	极广胜乘中观决定	
མཐོང་ཐོས	见闻	1	极广胜乘中观决定	
དུས་གཅིག	同时	1	极广胜乘中观决定	是
རྣམ་པར་གཞག་པ	安立	1	极广胜乘中观决定	
ཇི་ལྟ་བ	譬如	1	极广胜乘中观决定	是
ཀེང་རུས	骨骼	1	极广胜乘中观决定	
ཡང་དག་མཐའ	空性	1	极广胜乘中观决定	是
མི་ཟད	无穷	1	极广胜乘中观决定	是
བདེན་པ	非虚妄	1	极广胜乘中观决定	是
ལོག་ཤེས	颠倒识	1	极广胜乘中观决定	是
རྣམ་པ	有别	1	极广胜乘中观决定	是
སོ་སོ་རང་རིག	之境	1	极广胜乘中观决定	
དངོས་པོ	无性	1	极广胜乘中观决定	是
ཡང་དག་མཐའ	真实	1	极广胜乘中观决定	是
དྲི་ཟའི་གྲོང་ཁྱེར	乾闼婆城	1	极广胜乘中观决定	
སྤངས་པ	舍离	1	极广胜乘中观决定	是
ཡུན་ཐུང	短暂	1	极广胜乘中观决定	
དེ་ཁོ་ན་ཉིད	真实性	1	极广胜乘中观决定	
སྟོབས་ལྡན	具力	1	极广胜乘中观决定	
ཁྱད་ཅི	有何差别	1	极广胜乘中观决定	
བྱ་རྫོགས	所作圆满	1	极广胜乘中观决定	
མངོན་སུམ	显现	1	极广胜乘中观决定	是
བསགས་པའི་ལས	造业	1	极广胜乘中观决定	
དང་པོ	最初者	1	极广胜乘中观决定	是
གཞན་ཡང	复次	1	极广胜乘中观决定	
སྒྲུབ་པ	正行	1	极广胜乘中观决定	
བགྲོད་བྱ	所行	1	极广胜乘中观决定	
བསྒྲུབས་པ	成就	1	极广胜乘中观决定	
རྣམ་གྲངས	分类	1	极广胜乘中观决定	是
བརྟེན་པ	不动	1	极广胜乘中观决定	
རྗེས་དྲན	随念	1	极广胜乘中观决定	
བརྙས་པ	诽谤	1	极广胜乘中观决定	
བྱམས་ཆེན	大慈心	1	极广胜乘中观决定	
བསྔོ་བ	增长	1	极广胜乘中观决定	是
བརྟེན་པ	能依	1	极广胜乘中观决定	
ཐུན་མཚམས	座间	1	极广胜乘中观决定	
ཆོས་སྤྱོད	法行	1	极广胜乘中观决定	
སྤོང་བའི་འདུ་བྱེད	断行	1	极广胜乘中观决定	
ཕན་ཡོན	功德	1	极广胜乘中观决定	是
