藏文	汉译	频次	出处
འཇིགས་པ་ལྔ	五怖畏	2	宝性论大疏、极广胜乘中观决定
དབང་བཅུ	智自在	2	宝性论大疏、极广胜乘中观决定
རང་རྒྱལ	独觉	2	极广胜乘中观决定
རྣམ་པ	种类	2	宝性论大疏、极广胜乘中观决定
རྗེས་སུ་མཐུན་པ	随顺	2	宝性论大疏、极广胜乘中观决定
དབང་རྣོན	利根	2	宝性论大疏、极广胜乘中观决定
ཡེ་ཤེས་ལྔ	五智	2	极广胜乘中观决定
མཛད་འཕྲིན	事业	2	极广胜乘中观决定
ཡིན་ཡང	虽是	2	宝性论大疏、极广胜乘中观决定
རྒྱལ་ཚབ	补处	2	宝性论大疏
ཐུབ་པའི་དབང་པོ	能仁王	2	宝性论大疏
ཕྱི་མ	后世	2	宝性论大疏
དཀའ་བ	难得	2	宝性论大疏
ཉམས་སུ་ལེན་པ	修习	2	宝性论大疏
རྒྱ་མཚོ	广大	2	宝性论大疏
གསང་བ	密处	2	宝性论大疏
རང་ཉིད	本人	2	宝性论大疏
བླ་མ	喇嘛	2	宝性论大疏
དཀོན་མཆོག	佛宝	2	宝性论大疏
བསྙེན་བཀུར	亲近承事	2	宝性论大疏
དེ་ལྟར	依此	2	宝性论大疏
དད་པ	信心	2	宝性论大疏
གཞལ་ཡས་ཁང	无量宫	2	宝性论大疏
དབྱེར་མེད་པ	无差别	2	宝性论大疏
ཚིགས་བཅད་གཅིག	一颂	2	宝性论大疏
ཉེ་བའི་རྒྱུ	近因	2	宝性论大疏
དེ་ཡང	其次	2	宝性论大疏
ཆོས་ཀྱི་རྣམ་གྲངས	异门	2	宝性论大疏｜人工校正
སྒྲིབ་པ	障碍	2	宝性论大疏
འཕྲུལ་བ	变化	2	宝性论大疏
བར་སྣང	虚空	2	宝性论大疏
དོ་ཤལ	璎珞	2	宝性论大疏
ཡིད་དུ་འོང་བ	悦意	2	宝性论大疏
སྨིན་མཚམས	眉间	2	宝性论大疏
བྱིན་གྱིས་བརླབས་པ	加持	2	宝性论大疏
འདི་སྐད	如是	2	宝性论大疏
ངོ་བོ	行相	2	宝性论大疏
དབུ་མ་པ	中观师	2	宝性论大疏
འདུལ་བ	毗奈耶	2	宝性论大疏
རང་རྐྱ	独立	2	宝性论大疏
སྨིན་བྱེད	能熟	2	宝性论大疏
རྣམ་ཐར	解脱	2	宝性论大疏
འཁོར་གསུམ	所作	2	宝性论大疏
འདོར་བ	舍弃	2	宝性论大疏
ཕྱིན་ཅི་ལོག་བཞི	四颠倒	2	宝性论大疏
དུལ་བ	调柔	2	宝性论大疏
དག་པ	无垢	2	宝性论大疏
དོན་གཉིས	自利	2	宝性论大疏
ཐུགས་རྗེ	悲悯	2	宝性论大疏
མིང་གཟུགས	名色	2	宝性论大疏
དག་པ་ཉིད	清净	2	宝性论大疏
རྩོལ་བ	无功	2	宝性论大疏
མངའ་བ	所有	2	宝性论大疏
འདུས་མ་བྱས	无为法	2	宝性论大疏
ངོ་མཚར	稀有	2	宝性论大疏
བཤད་པ	解说	2	宝性论大疏
མཐར་ལྟ	边执见	2	宝性论大疏
འཇིག་ལྟ	坏聚见	2	宝性论大疏
ཉིང་མཚམས་སྦྱོར་བ	结生	2	宝性论大疏
རང་བཞིན་གྱིས་མ་གྲུབ་པ	无自性	2	宝性论大疏
རྟོགས་པ	觉悟	2	宝性论大疏
སངས་རྒྱས་ཀྱི་སྤྱན	佛眼	2	宝性论大疏
རྒུད་པ	衰损	2	宝性论大疏
བདེན་གྲུབ	自性有	2	宝性论大疏
གཞི་མེད	无根	2	宝性论大疏
གསལ་བ	光明	2	宝性论大疏
གཉིས་སུ་མེད་པ	无二	2	宝性论大疏
གཉིས་སུ་མེད	无二	2	宝性论大疏
ཡུལ་འཛིན	取境	2	宝性论大疏
བསོད་ནམས་མ་ཡིན་པ	非福	2	宝性论大疏
རྒྱས་འབྲིང་བསྡུས་གསུམ	般若经	2	宝性论大疏
ངེས་དོན	胜义谛	2	宝性论大疏
དོན་གྱི་མདོ	要义	2	宝性论大疏
ལྷ་མོ	天女	2	宝性论大疏
སྐད་ཅིག་མ	一刹那	2	宝性论大疏
བྱང་ཆུབ	圆满	2	宝性论大疏
དྲག་ཤུལ་ཅན	郁伽长者	2	宝性论大疏
རང་ཉིད	自己	2	宝性论大疏
འཕགས་པའི་དགེ་འདུན	圣僧	2	宝性论大疏
དཀོན་མཆོག	法宝	2	宝性论大疏
དེ་ལྟ་བུ	如是	2	宝性论大疏
གཞོལ་བ	专注	2	宝性论大疏
མིང་བཏགས	假名	2	宝性论大疏
ཕྱི་རོལ་པ	外道	2	宝性论大疏
ཕྱི་མ	最后	2	宝性论大疏
སྟོན་པའི་བསྟན་པ	大师教	2	宝性论大疏
ཆོས་འཁོར	法轮	2	宝性论大疏
འབད་པ	精进	2	宝性论大疏
ཤིང་རྟ་ཆེན་པོ	大车	2	宝性论大疏
བྱེ་བྲག	分别	2	宝性论大疏
ཁྱུ་མཆོག	牛王	2	宝性论大疏
གཙོ་བོ	自性	2	宝性论大疏
སེམས་རྒྱུད	心相续	2	宝性论大疏
མཐོང་བ	亲见	2	宝性论大疏
སློབ་དཔོན	师长	2	宝性论大疏
བཤད་པ	本释	2	宝性论大疏
མིང་གི་རྣམ་གྲངས	异名	2	宝性论大疏
བྱེད་པ་པོ	作者	2	宝性论大疏
དགོངས་གཞི	用意	2	宝性论大疏
རྣམ་འགྲེལ	释量论	2	宝性论大疏
ཐ་དད་པ	分别	2	宝性论大疏
ལེགས་པར་བཤད་པ	善说	2	宝性论大疏
མངོན་སུམ	真实	2	宝性论大疏
མ་མ	乳母	2	宝性论大疏
སྙིང་བརྩེ	悲心	2	宝性论大疏
རེ་རེ་ནས	各各	2	宝性论大疏
རྒྱབ་ཀྱིས་ཕྱོགས་པ	背弃	2	宝性论大疏
མངོན་པའི་ང་རྒྱལ	增上慢	2	宝性论大疏
ཞི་ལྷག་ཟུང་འབྲེལ	止观双运	2	宝性论大疏
བྱེད་ལས	功用	2	宝性论大疏
ལོག་ཤེས	邪智	2	宝性论大疏
མངོན་གྱུར	通达	2	宝性论大疏
བདེན་པར་འཛིན་པ	实执	2	宝性论大疏
མུར་ཐུག་པ	究竟	2	宝性论大疏
རྒ་ཤི	老死	2	宝性论大疏
ཇི་སྲིད་དུ	乃至	2	宝性论大疏
སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས	三千大千世界	2	宝性论大疏
ཆད་པ	断／断灭（断边，对 རྟག་པ 常边）	2	宝性论大疏｜人工校正
ཆད་ལྟ	断见	2	宝性论大疏
རྟག་ལྟ	常见	2	宝性论大疏
རྒྱུ་མེད་རྐྱེན་མེད	无因无缘	2	宝性论大疏
རིགས་ཅན	有种性	2	宝性论大疏
དེ་སྲིད་དུ	乃至	2	宝性论大疏
སངས་རྒྱས་པ	已成佛	2	宝性论大疏
ཡིད་འབྱུང	之心	2	宝性论大疏
ནུས་པ	能力	2	宝性论大疏
ཟག་པ	不净	2	宝性论大疏
ཐ་དད་པ	各别	2	宝性论大疏
དེ་ཉིད་ཀྱི་ཕྱིར	是故	2	宝性论大疏
རླུང་གི་དཀྱིལ་འཁོར	风轮	2	宝性论大疏
སའི་དཀྱིལ་འཁོར	地轮	2	宝性论大疏
རླུང་གི་ཁམས	风界	2	宝性论大疏
བར་ཆད	中断	2	宝性论大疏
སྔ་མ་སྔ་མ	前前	2	宝性论大疏
མངོན་གྱུར	现证	2	宝性论大疏
སྣང་བ	明相	2	宝性论大疏
ཉིང་མཚམས་སྦྱོར་བ	结生相续	2	宝性论大疏
ཁྱད་པར་དུ་འཕགས་པ	殊胜	2	宝性论大疏
སླད་དུ	是故	2	宝性论大疏
མངོན་དུ་ཕྱོགས་པ	现前	2	宝性论大疏
འགོག་པའི་སྙོམས་འཇུག	灭尽定	2	宝性论大疏
སྲིད་ཞི་མཉམ་ཉིད་ཀྱི་སྦྱོར་བ	有寂平等性加行	2	宝性论大疏
མངོན་གྱུར	显现	2	宝性论大疏
བདག་འཛིན་གཉིས	二种我执	2	宝性论大疏
བཅུ་པ	第十	2	宝性论大疏
བཞེད་པ	主张／许（承许·认定；敬语动词，如 X འི་བཞེད་པ「X 所许」；勿作「自在」）	2	他空中观品三觉义一切相校订本｜人工校正
སྔོན་དུ	先前	2	宝性论大疏
འདུལ་བ	调伏	2	宝性论大疏
མཉམ་པ	同时	2	宝性论大疏
འགོད་པ	安置	2	宝性论大疏
ཕྱི་མ	边际	2	宝性论大疏
རྣམ་གྲོལ	涅槃	2	宝性论大疏
རི་མོ་མཁན	画师	2	宝性论大疏
ནུས་མཐུ	能力	2	宝性论大疏
གྲངས་མེད་པ	无数	2	宝性论大疏
ཡེ་ཤེས་ཀྱི་ཚོགས	智资粮	2	宝性论大疏
རྣམ་པར་མི་རྟོག་པ	无分别	2	宝性论大疏
དེ་དག	反之	2	宝性论大疏
ཁམས་གོང་མ	上界	2	宝性论大疏
ངོ་བོ	本性	2	宝性论大疏
དགའ་བ	欢喜	2	宝性论大疏
མཚུངས་པ	相似	2	宝性论大疏
ཉེས་སྤྱོད	恶行	2	宝性论大疏
རྒྱལ་སྲིད	国政	2	宝性论大疏
སྲོག་ཆགས	有情	2	宝性论大疏
སྐྱེ་དགུ	众生	2	宝性论大疏
ཡན་ཆད་དུ	以上	2	宝性论大疏
ཡེ་ཤེས་ཀྱི་ཚོགས	智慧资粮	2	宝性论大疏
སྤྲུལ་པའི་སྐུ	变化身	2	宝性论大疏
དངོས་ཡོད	实际	2	宝性论大疏
འཆི་བ་མེད་པ	无死	2	宝性论大疏
ཆོ་འཕྲུལ་གསུམ	三神变	2	宝性论大疏
དབང་པོ་དྲུག	六根	2	宝性论大疏
གཡོ་བ	动摇	2	宝性论大疏
ཚོགས་པ	圆满	2	宝性论大疏
བདག་རྐྱེན	增上缘	2	宝性论大疏
ཅིག་ཤོས	另一方	2	宝性论大疏
སྒྲིབ་པ་གསུམ	三障	2	宝性论大疏
བདག་ཉིད	主宰	2	宝性论大疏
ལྟར་སྣང་བ	现似	2	宝性论大疏
རྫུ་འཕྲུལ	神通	2	宝性论大疏
རོལ་པ	嬉戏	2	宝性论大疏
སྒོམ་བྱུང	修所成慧	2	宝性论大疏
བསམ་ཡས	无边	2	宝性论大疏
རྒྱུ་བ	游行	2	宝性论大疏
ཕ་རོལ	彼岸	2	宝性论大疏
གནས་མིན	非处	2	宝性论大疏
རྗེས་སུ་དྲན་པ	随念	2	宝性论大疏
མཐའ་གཅིག་ཏུ	一边	2	宝性论大疏
ངང་གིས	自然	2	宝性论大疏
སྤྲིན་མེད	无云	2	宝性论大疏
ས་སྟེང	地上	2	宝性论大疏
འདོད་ཡོན	欲尘	2	宝性论大疏
ལྷའི་གནས	天界	2	宝性论大疏
རྔ་སྒྲ	鼓声	2	宝性论大疏
དབྱར་གྱི་དུས	如夏季	2	宝性论大疏
རྨ་བྱ	孔雀	2	宝性论大疏
འགྲོ་བ	恶趣	2	宝性论大疏
ངན་འགྲོའི་སྡུག་བསྔལ	恶趣苦	2	宝性论大疏
མནར་མེད	无间	2	宝性论大疏
བྲག་ཅ	回响	2	宝性论大疏
བསམ་གཏན་བཞི	四静虑	2	宝性论大疏
བཤད་བྱ	所说	2	宝性论大疏
རྙེད་པ	利养	2	宝性论大疏
རྗེ་བཙུན	圣者	2	宝性论大疏
ཡིད་ཆེས་རྗེས་དཔག	信解比量	2	他空中观校订本｜人工校正
རྣམ་པ་ཐམས་ཅད་པ	一切相	3	他空中观校订本｜人工校正
སྙིང་པོ	藏	2	他空中观校订本｜人工校正
བདེ་གཤེགས་སྙིང་པོ	如来藏	2	他空中观校订本｜人工校正
མཚན་བརྗོད	《妙吉祥真实名经》	2	他空中观校订本｜人工校正
སྟོང་རྐྱང	单空	2	他空中观校订本｜人工校正
གདོད་མའི་ཡེ་ཤེས	本初智	2	他空中观校订本｜人工校正
གཤིས	本性	2	他空中观校订本｜人工校正
འགྱུར་བ་མེད་པ	不变	3	他空中观校订本｜人工校正
རིགས་རྒྱུན	种姓相续	2	他空中观校订本｜人工校正
ཁྱབ་པ་པོ	能遍者	4	他空中观校订本｜人工校正
ཀུན་འགྲོ	遍行	4	他空中观校订本｜人工校正
ཆ་མེད	无分	5	他空中观校订本｜人工校正
གནས་ལུགས	实相	4	他空中观校订本｜人工校正
གློ་བུར	客尘	6	他空中观校订本｜人工校正
ཟུང་འཇུག	双运	3	他空中观校订本｜人工校正
རྣམ་པ	相（如 གཟུགས་ཀྱི་རྣམ་པ「色相」；固定语 རྣམ་པ་ཐམས་ཅད་པ「一切相」）｜差别／种类（列举分类时）｜行相（因明语境）	23	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
དངོས་པོ	实法／实有（存在物，如 དངོས་པོ་ཐམས་ཅད「一切实法」）｜事物（泛指）	9	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
འཛིན་པ	执／执著（如 གཅིག་ཏུ་འཛིན་པ 执为一、རྟག་པར་འཛིན་པ 执常）｜我执（仅 བདག་འཛིན）｜能取（与 གཟུང་བ 所取相对时）	5	他空中观校订本｜人工校正｜多义
གྲུབ་པ	成立／不成立（中观义，与 མ་གྲུབ་པ 相对，如「于实相成立」「从本不成立」）｜成就（获得）｜成就者／圣者（名词 གྲུབ་པ）	3	他空中观校订本｜人工校正｜多义
བསྟན་པ	宣说／开示／示（动词）｜圣教／教法（名词，佛之 བསྟན་པ）	4	他空中观校订本｜人工校正｜多义
སྟོན་པ	开示／宣说／示（动词，如 ཚུལ་གྱི་སྟོན་པ 示其理）｜大师／导师（名词，指佛）	3	他空中观校订本｜人工校正｜多义
ཐ་དད	异（一异范畴，与 གཅིག 相对，如 གཅིག་དང་ཐ་དད「一与异」）｜差别／别异（抽象名词）	4	他空中观校订本｜人工校正｜多义
རྒྱལ་ཁམས	界（识/智各自所摄之境与有境范围，如 རྣམ་ཤེས་ཀྱི་རྒྱལ་ཁམས 识之界）	4	他空中观校订本｜人工校正
སྣང་གྲགས	共许（显现共许；snang grags）	2	他空中观校订本｜人工校正
རྣམ་ཤེས	识	3	他空中观校订本｜人工校正
མཚན་མ	相	2	他空中观校订本｜人工校正
རྣམ་པར་རྟོག་པ	分别	2	他空中观校订本｜人工校正
རྣལ་འབྱོར་བ	瑜伽行者	2	他空中观校订本｜人工校正
མྱང་འདས	涅槃	3	他空中观校订本｜人工校正
གཞན་གྱི་དབུ་མ	他宗中观／他派中观（གཞན་གྱི＝他者的，勿与 གཞན་སྟོང 他空相混）	2	他空中观2.3异门校订本｜人工校正
ཁྱབ་འཇུག	遍入天（Viṣṇu）	2	他空中观2.3异门校订本｜人工校正
མ་ནིང	中性（ma ning；密续语境，如 མ་ནིང་གི་གོ་འཕང「中性位」）	2	他空中观2.3异门校订本｜人工校正
དངོས་པོ་མེད་པ	非法（无实法，如虚空等无为；勿解作「不如法」）	2	他空中观品二蕴界处校订本｜人工校正
ཆོས་མངོན་པ	阿毗达磨（对法）	2	他空中观品二蕴界处校订本｜人工校正
ཐོགས་བཅས	有对（有碍）	2	他空中观品二蕴界处校订本｜人工校正
ཐོགས་པ་མེད་པ	无对（无碍；与 ཐོགས་མེད「无著」不同词）	2	他空中观品二蕴界处校订本｜人工校正
ཡང་དག་པའི་འདུ་ཤེས	真实想（想蕴三分之一，与颠倒想/清净想对；勿作「如实想」）	2	他空中观品二行蕴校订本｜人工校正
བསྒྲིབས	有覆（俱舍，nivṛta）	2	他空中观品二行蕴校订本｜人工校正
སྒྲིབ་ལུང་མ་བསྟན	有覆无记	2	他空中观品二行蕴校订本｜人工校正
མངོན་པ་མཛོད	俱舍论（Abhidharmakośa；与 ཆོས་མངོན་པ「阿毗达磨」区分）	2	他空中观品二行蕴校订本｜人工校正
རྩ་བའི་ཉོན་མོངས་པ	根本烦恼	2	他空中观品二行蕴校订本｜人工校正
སྲིད་རྩེ	有顶	2	他空中观品二行蕴校订本｜人工校正
འདུ་ཤེས་མེད་པའི་སེམས་ཅན	无想有情	2	他空中观品二行蕴校订本｜人工校正
ཡན་ལག་ཅན	具支分者（有支，与 ཡན་ལག 支分相对）	2	他空中观品二性相法校订本｜人工校正
བཏགས་ཡོད	假立有（prajñaptisat；与 ཀུན་བཏགས 遍计所执区分）	2	他空中观品二性相法校订本｜人工校正
ཀུན་བཏགས	遍计所执（ཀུན་བརྟགས 之异体拼写，parikalpita）	2	他空中观品二性相法校订本｜人工校正
བརྟེན་པ	能依（与 རྟེན 所依相对时，如 རྟེན་དང་བརྟེན་པ）｜依止／依赖（动词，如 X ལ་བརྟེན་པ）	2	他空中观品二性相法校订本｜人工校正｜多义
གཏན་ཚིགས	因／正因（因明能立，可观待互换为所立）	2	他空中观品二假立法续校订本｜人工校正
བསྒྲུབ་བྱ	所立（法）（因明，与 གཏན་ཚིགས 能立/因相对）	2	他空中观品二假立法续校订本｜人工校正
རྒྱུ་ཅན	具因者（与 རྒྱུ 因相对）	2	他空中观品二假立法续校订本｜人工校正
ཕན་བྱ	所利益／所益	2	他空中观品二假立法续校订本｜人工校正
ཕན་བྱེད	能利益／能益	2	他空中观品二假立法续校订本｜人工校正
གནོད་བྱ	所损／所害	2	他空中观品二假立法续校订本｜人工校正
གནོད་བྱེད	能损／能害	2	他空中观品二假立法续校订本｜人工校正
ལྷན་ཅིག་འགྲོགས་པ	俱生相伴	2	他空中观品二假立法续校订本｜人工校正
མཚམས་སྦྱོར	相续／连接（前后际·刹那相连）	2	他空中观品二假立法续校订本｜人工校正
སོ་སོར་བརྟགས་འགོག	择灭（pratisaṃkhyā-nirodha，别别观察而灭）	2	他空中观品二无实法与道校订本｜人工校正
བརྟགས་མིན་གྱི་འགོག་པ	非择灭（apratisaṃkhyā-nirodha，非观察之灭）	2	他空中观品二无实法与道校订本｜人工校正
དོན་སྤྱི	义共相／义总	2	他空中观品二无实法与道校订本｜人工校正
སྒྲོ་བཏགས	增益（sgro btags；虚妄增添所立）	2	他空中观品二无实法与道校订本｜人工校正
ཉེར་གཅིག	二十一（廿一基法）	2	他空中观品二无实法与道校订本｜人工校正
ཚངས་པའི་ཐེག་པ	梵乘（Brahma-yāna；五乘之一，勿作「清净乘」）	2	他空中观品二无实法与道校订本｜人工校正
དངོས་པོ་གཞན་འགྱུར་གྱི་དངོས་མེད	变体实法之无实（三无实之根本型；余二无实归摄于此）	2	他空中观品二无实法与道校订本｜人工校正
ལོངས་སྐུ	报身（受用身；ངེས་པ་ལྔ་ལྡན 具五决定）	2	他空中观品二五乘无为果校订本｜人工校正
རྫོགས་ལྡན	圆满（时）·圆满具足（末转了义示法界圆满故名；对 གསུམ་ལྡན/གཉིས་ལྡན）	2	他空中观品二五乘无为果校订本｜人工校正
རྣམ་གྲངས་པའི་འདུས་མ་བྱས	异门无为（假名无为，非真无为＝法界胜义）	2	他空中观品二五乘无为果校订本｜人工校正
རྣམ་པར་རིག་པ	了别（识）（vijñapti；如 གཟུགས་སུ་སྣང་བའི་རྣམ་རིག 现为色之了别）	2	他空中观品二五基校订本｜人工校正
སེལ་ངོ	遮遣面／遣余面（无实法·非法唯识之遮遣分，对 སྣང་ངོ 显现面）	2	他空中观品二五基校订本｜人工校正
ལྡན་མིན་འདུ་བྱེད	心不相应行（viprayukta-saṃskāra；五位之一）	2	他空中观品二五基校订本｜人工校正
གཙོ་བོ་སེམས	心王（主·心，对 སེམས་བྱུང 心所/眷属）	2	他空中观品二五基校订本｜人工校正
བྱིས་པ	凡夫／愚夫	2	他空中观校订本｜人工校正
ཀུན་འབྱུང་བདེན་པ	集谛	2	他空中观品二四谛校订本｜人工校正
སྐྱེ་བའི་སྲིད་པ	生之有（苦谛之主；由生而有死、中有等余苦）	2	他空中观品二四谛校订本｜人工校正
བར་དོའི་སྲིད་པ	中有之有	2	他空中观品二四谛校订本｜人工校正
སྲེད་པ	贪爱（集谛之主，结生相续之主因；对 ཞེ་སྡང 等）	2	他空中观品二四谛校订本｜人工校正
འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ	行苦（三苦之一，与苦苦/变苦对）	2	他空中观品二四谛校订本｜人工校正
འགྱུར་བའི་སྡུག་བསྔལ	变苦（三苦之一）	2	他空中观品二四谛校订本｜人工校正
ཟག་པ་མེད་པ	无漏（对 ཟག་བཅས 有漏）	2	他空中观品二四谛校订本｜人工校正
བྱང་ཕྱོགས་སོ་བདུན	三十七菩提分（声闻共同之道谛所相）	2	他空中观品二四谛校订本｜人工校正
ཀུན་འབྱུང་ཕྲ་མོ	微细集谛（所知障·无明习气地·自在转生烦恼·无漏业，摄于清净道）	2	他空中观品二四谛校订本｜人工校正
མ་རིག་བག་ཆགས་ཀྱི་ས	无明习气地（障一切智、所知障之所依地；菩萨不能断、不自在之障）	2	他空中观品二四谛校订本｜人工校正
དབང་སྒྱུར་བའི་ཉོན་མོངས	自在转生者之烦恼（菩萨依相续示现，反成近菩提，非障解脱）	2	他空中观品二四谛校订本｜人工校正
ཡིད་ལུས	意生身（大乘菩萨极澄净之自现身，非粗大身）	2	他空中观品二四谛校订本｜人工校正
འཆི་འཕོ་བ	死迁转（意生身反复趣入/舍变化神变而示；非尽灭成无之死）	2	他空中观品二四谛校订本｜人工校正
བཤེས་སྤྲིང	《亲友书》（龙树 Suhṛllekha）	2	他空中观品二四谛校订本｜人工校正
འོག་མིན	色究竟（天）（Akaniṣṭha；色界顶）	2	他空中观品二末段校订本｜人工校正
འོག་མིན་སྟུག་པོ་བཀོད་པ	密严色究竟（天）（大色究竟密严庄严刹土；色界十七天之上第十八天·十地自在菩萨所生，≠小乘所生之色究竟）	2	他空中观品二末段校订本｜人工校正
གནས་གཙང་མ	净居天（五净居；色究竟在其上）	2	他空中观品二末段校订本｜人工校正
མཛད་པ་བཅུ་གཉིས	十二相成道（十二事业）	2	他空中观品二末段校订本｜人工校正
མཉམ་གཞག	等引（入定·根本定；对 རྗེས་ཐོབ 后得）	2	他空中观品二末段校订本｜人工校正
རྣལ་འབྱོར་སྤྱོད་པའི་ས	《瑜伽师地论》（Yogācārabhūmi）	2	他空中观品二末段校订本｜人工校正
བཻཌཱུརྱ	琉璃（vaiḍūrya）	2	他空中观品二末段校订本｜人工校正
མུ	边／门（句；catuṣkoṭi 一支，如 མུ་བཞི 四边/四门/四句）	2	他空中观品二末段校订本｜人工校正
གཡུང་དྲུང	不动（Śāśvata；卍；gyung=常·drung=坚固之合诠，即恒常坚稳；界之「常义」；勿作万字符号义）	2	他空中观品三常义周遍义校订本｜人工校正
ཁྱབ་པ	遍／周遍（能遍；界之「周遍义」，科判作「遍行义」）	2	他空中观品三常义周遍义校订本｜人工校正
རྗེས་སུ་སོང་བ	随行（周遍义：遍随一切处，如虚空随一切物）	2	他空中观品三常义周遍义校订本｜人工校正
ཀུན་ཏུ་འགྲོ་བ	遍行／周行（界周遍一切法；此为动词遍行，勿混名词「众生 འགྲོ་བ」）	2	他空中观品三常义周遍义校订本｜人工校正
མེད་དགག	无遮（med dgag，无遮遣·纯否定；对 མ་ཡིན་དགག 非遮）	2	他空中观品三觉义一切相校订本｜人工校正
ངོས་འཛིན	认定（识别·判定；如「如来藏之认定」）	2	他空中观品三觉义一切相校订本｜人工校正
རང་བཞིན་མྱང་འདས	自性涅槃（本性涅槃；法身本具·真实堪能，对 གློ་བུར་དྲི་སྤངས 客尘断除之假立涅槃）	2	他空中观品三觉义一切相校订本｜人工校正
རྒྱུད་བླ་མ	《宝性论》（Uttaratantra；弥勒论名；勿作「上续／师长」）	2	他空中观品三觉义一切相校订本｜人工校正
གོ་ཆོད	堪能／真实有效（如「堪能之涅槃」rang bzhin myang 'das）	2	他空中观品三觉义一切相校订本｜人工校正
ཆོས་མཚུངས	同法（法相似／同一法类；《宝性论大疏》定型译名，别于泛言 མཚུངས་པ「相似」）	5	他空中观品三一切相离戏不杂校订本｜人工校正
འོག་དབང་ཆེན	下·大威（《宝性论》大海喻中「黄金地基」之修饰；旧机器稿存疑(？)，今依用户定）	1	他空中观品三一切相离戏不杂校订本｜人工校正
ཡོངས་དཔྱོད	遍察（周遍审察；དཔྱོད＝审察/伺察/思择，勿与 སྤྱོད 受用混，非「领受/具有」）	2	他空中观品三双运种界龙树会通九相校订本｜人工校正
རྣམ་དཔྱད	详察（分别审察；རྣམ＝别，དཔྱད 即 དཔྱོད 之过去式，审察义）	2	他空中观品三双运种界龙树会通九相校订本｜人工校正
ཡོངས་གཅོད	遍立（周遍决定·肯定；因明「成立」义，与 རྣམ་བཅད 遮遣相对；九相摄颂中 4 相由此立）	1	他空中观品三双运种界龙树会通九相校订本｜人工校正
རྣམ་བཅད	遮遣（否定·排除；与 ཡོངས་གཅོད 遍立相对；九相摄颂中离戏/不染 2 相由此立）	1	他空中观品三双运种界龙树会通九相校订本｜人工校正
བློ་ངོར	心前｜瑜伽者心识前之显现层(blo ngor)·随顺心识安立·非实相/胜义层	6	他空中观品三校订本｜人工校正
སྐྱེ་མཆེད་དྲུག	六处	3	他空中观品三校订本｜人工校正
སྐྱེ་མེད་གནས་ལུགས	无生实相	3	他空中观品三校订本｜人工校正
ལ་ལ	有些／某些（不定代词，「有的…有的…」）｜亦作格助词「于/对」，随语境	3	他空中观品三校订本｜人工校正｜多义
གསེར་ཐུབ	拘那含佛（Kanakamuni／金寂·金仙，过去七佛之一）	3	他空中观品三校订本｜人工校正
འོད་སྲུང	迦叶（此处指迦叶佛 Kāśyapa；亦指大迦叶尊者，随语境）	3	他空中观品三校订本｜人工校正｜多义
ལྷས་བྱིན	天授（提婆达多 Devadatta）	3	他空中观品三校订本｜人工校正
རྩོད་ལྡན	具诤时（kaliyuga，印度四时之末·今时；对 རྫོགས་ལྡན/གསུམ་ལྡན/གཉིས་ལྡན）	2	他空中观品三校订本｜人工校正
གསུམ་ལྡན	三分时（tretāyuga，四时之二；四时语境。字面『具三』另义随语境）	2	他空中观品三校订本｜人工校正｜多义
གཉིས་ལྡན	二分时（dvāparayuga，四时之三；四时语境。字面『具二』另义随语境）	2	他空中观品三校订本｜人工校正｜多义
བདེན་མེད	无谛实·无真实（bden med；仅无谛实不成法性）	3	他空中观品三校订本｜人工校正
ཐེར་ཟུག	永恒·常恒	3	他空中观品三校订本｜人工校正
སྲ་བརྟན	坚固·坚实	3	他空中观品三校订本｜人工校正
ཉི་ཚེ་བ	片面·少分·局部（对『周遍』；片面之周遍）	2	他空中观品三校订本｜人工校正
རྒྱུན	相续（诸刹那之串连·有支分）｜亦作『不断·流』，随语境	4	他空中观品三校订本｜人工校正｜多义
ཀུན་གཞི་ཡེ་ཤེས	遍基智（＝胜义法界；轮涅总基故名遍基·胜义谛故名智；非阿赖耶识）	3	他空中观品三校订本｜人工校正
ཀུན་གཞི་རྣམ་ཤེས	阿赖耶识（唯识第八识；与如来藏仅『相似之相』·非智，喻如红衣外壳）	3	他空中观品三校订本｜人工校正
གདོད་མའི་གནས་ལུགས	本初实相（果非新造·唯本初实相离垢而立为果）	3	他空中观品三校订本｜人工校正
རང་བཞིན་གྱི་རིགས	自性种性·本性住种性（无觉未觉·恒具功德）	3	他空中观品三校订本｜人工校正
རང་བཞིན་གནས་རིགས	本性住种性（＝自性种性 rang bzhin gyi rigs）	2	他空中观品三校订本｜人工校正
རྒྱས་འགྱུར་རིགས	增长种性（依道次第增长·假名『觉/增长』）	3	他空中观品三校订本｜人工校正
ཕུང་པོ་ལྷག་མེད	无余（蕴涅槃 phung po lhag med）	2	他空中观品三校订本｜人工校正
གློ་བུར་མྱ་ངན་ལས་འདས	客尘涅槃·新得涅槃（缘法性修道所生·非本有）	2	他空中观品三校订本｜人工校正
གཡའ	（金之）垢·锈·矿垢（有金则伴生 g.ya'；用户裁定，非『云母』）	2	他空中观品三校订本｜人工校正
