藏文	汉译	频次	出处
བདག་ཉིད	自性	15	宝性论大疏、极广胜乘中观决定
རིགས་འདྲ	同类	15	宝性论大疏、极广胜乘中观决定
ཐ་མ	最后	15	宝性论大疏、极广胜乘中观决定
གཙོ་བོ	主要	15	宝性论大疏、极广胜乘中观决定
དྲང་དོན	不了义	15	宝性论大疏、极广胜乘中观决定
ཐུགས་རྗེ	大悲	15	宝性论大疏、极广胜乘中观决定
སངས་རྒྱས་དཀོན་མཆོག	佛宝	15	宝性论大疏
དགེ་འདུན་དཀོན་མཆོག	僧宝	15	宝性论大疏
རང་དོན	自利	15	宝性论大疏
བདེན་སྟོང	谛实空	15	宝性论大疏
སྐྱོན་མེད	无过	14	宝性论大疏、极广胜乘中观决定
རྗེ་བཙུན	至尊	14	宝性论大疏、极广胜乘中观决定
མ་ལུས་པ	一切	14	宝性论大疏、极广胜乘中观决定
དེ་ཡང	彼亦	14	宝性论大疏、极广胜乘中观决定
ཀུན་རྫོབ	俗谛	14	宝性论大疏、极广胜乘中观决定
འོད་གསལ་བ	光明	14	宝性论大疏、极广胜乘中观决定
བྱིས་པ	愚夫	14	宝性论大疏、极广胜乘中观决定
ཐུགས་རྗེ་ཆེན་པོ	大悲	14	宝性论大疏、极广胜乘中观决定
མྱ་ངན་ལས་འདས	涅槃	14	宝性论大疏
དེ་ནས	复次	14	宝性论大疏
འོད་ཟེར	光明	14	宝性论大疏
དྲི་མ་མེད་པ	无垢	14	宝性论大疏
གློ་བུར་རྣམ་དག	客尘清净	14	宝性论大疏
ཐུགས་རྒྱུད	心相续	14	宝性论大疏
འཁོར་བའི་སྡུག་བསྔལ	生死苦	14	宝性论大疏
རྣམ་གྲོལ	解脱	14	宝性论大疏
དབུ་མ	中观	13	宝性论大疏、极广胜乘中观决定
བྱང་ཆུབ	通达	13	宝性论大疏、极广胜乘中观决定
ཆོས་དབྱིངས	法界	13	宝性论大疏、极广胜乘中观决定
འགོག་བདེན	灭谛	13	宝性论大疏、极广胜乘中观决定
མ་ལུས	无余	13	宝性论大疏、极广胜乘中观决定
ལྟོས་པ	观待	13	宝性论大疏、极广胜乘中观决定
རང་བྱུང	自生	13	宝性论大疏、极广胜乘中观决定
ཆོས་ཀྱི་བདག་མེད	法无我	13	宝性论大疏、极广胜乘中观决定
བདེན་གཉིས	二谛	13	宝性论大疏、极广胜乘中观决定
སྤང་བྱ	所断	13	宝性论大疏、极广胜乘中观决定
ཤེར་ཕྱིན	般若	13	宝性论大疏、极广胜乘中观决定
ཐོག་མ་མེད་པ	无始	13	宝性论大疏
དེ་བཞིན	如此	13	宝性论大疏
དཔེར་ན	譬如	13	宝性论大疏
ཤེས་རབ	般若	13	宝性论大疏
མ་ལུས་པ	无余	13	宝性论大疏
རྩ་བ	根本	12	宝性论大疏、极广胜乘中观决定
རྣལ་འབྱོར	瑜伽	12	宝性论大疏、极广胜乘中观决定
རྫོགས་པ	圆满	12	宝性论大疏、极广胜乘中观决定
ཡོད་མེད	有无	12	宝性论大疏、极广胜乘中观决定
དོན་དམ་པ	胜义	12	宝性论大疏、极广胜乘中观决定
ཕུན་ཚོགས	圆满	12	宝性论大疏、极广胜乘中观决定
བསམ་གཏན	静虑	12	宝性论大疏、极广胜乘中观决定
སྤྲུལ་པའི་སྐུ	化身	12	宝性论大疏、极广胜乘中观决定
ཆོས་ཉིད	自性空	12	宝性论大疏
བདེན་པ	谛实	12	宝性论大疏
ཡིད་ལ་བྱེད་པ	作意	12	宝性论大疏
སྒོམ་སྤང	修所断	12	宝性论大疏
མངོན་མཐོ	增上生	12	宝性论大疏
ཕན་ཡོན	利益	12	宝性论大疏｜人工校正
